numQuestion,image,audio,paragraph,question,option1,option2,option3,option4,correctAnswer
1,num1,num1,,,The man is finishing his meal,The customer is waiting for a table,The waiter is setting the table,The woman is looking at the menu,D
2,num2,num2,,,He?s handling a tool,He?s cutting grass,He?s building a bookshelf,He?s walking up to the roof,A
3,num3,num3,,,She?s turning on the light,She?s holding up a booklet,She?s speaking to the audience,She?s rearranging the bookshelf,B
4,,num4,,,I came in early today,Because I had a question,By two o?clock at the earliest,The woman is looking at the menu,B
5,,num5,,,"Yes, I can lend it to you",The handle is in the front,"Yes, that would be nice, thanks",He?s walking up to the roof,C
6,,num6,,,"No, it?s in Los Angeles","Yes, he is the boss there",He?s on a business trip,She?s rearranging the bookshelf,B
7,,num7,, Who approved the new schedule?,You will have to prove it,"Sorry, I can?t change my schedule",I think Mr. Sutton did,,C
8,,num8,,What did Mr. Chin say to you at the meeting?,He didn?t say much,Let?s go talk to him,Where is he now?,,A
9,,num9,,Did you deliver the package in person?,"No, I asked Rick to take it",At the post office,He is not the person,,A
10,,num10,,The software is not running properly,You shouldn?t run too fast,Let me see if I can do anything about it,"No, I am not going to wear it",,B
11,,num11,,Where is the conference room?,It?s on the second floor,Let?s meet in a short while,We have plenty of room,,A
12,,num12,,Who asked for a copy of the report?,"Yes, I will ask him",Fifteen pages,Mr. Johnson did,,C
13,,num13,,Would you like anything to drink?,"Yes, I liked it very much",Some tea would be nice,"No, I didn?t get anything",,B
14,,num14,,Where does the bus for Toronto leave?,From gate,"Yes, let?s go",In ten minutes,,A
15,,num15-16-17,, How many pens does the man need?,100,200,300,,C
16,,num15-16-17,,Why does he need the pens?,To write a book,For the office employees,To make a large drawing,,C
17,,num15-16-17,,How much will he pay for the pens?,$20 ,$40 ,$120 ,,C
18,,num18-19-20,,"According to the woman, what is the problem with the cleaner?",Its shade is not right for her items,It is not solid enough to use,It is not convenient to apply,,B
19,,num18-19-20,,How did the woman learn about the item?,From an advertisement,From a product catalog ,From some reviews,,C
20,,num18-19-20,,What does the woman say she would prefer?,To get the money back ,To change the color,To get a discounted item,,C
21,,num21-22-23,,Why is the man meeting with Ronda?,To transfer her to another department,To offer her a full-time position,To discuss a future project,,B
22,,num21-22-23,,How long has Ronda been with the company?,One week,One month,Three months,,C
23,,num21-22-23,,In which department does Ronda work?,Marketing,Planning,Accounting,,A
24,,num24-25-26,,Where will the woman go next?,To have lunch,To talk to Mr. Wright,To see the general manager,,A
25,,num24-25-26,,When will the woman hand in her report?,By lunch,By the end of the day,By tomorrow,,B
26,,num24-25-26,,Who wants to see the report?,Wendy,The general manager,Mr. Wright?s secretary,,B
27,,num27-28-29,,In which department will Jason most likely work?,Personnel,Accounting,Computer,,C
28,,num27-28-29,,What impressed the man about Jason?,His job experience,His education background,His work ethic,,A
29,,num27-28-29,,What are the speakers discussing,A person they have just interviewed,Company sales figures,A guy they both know in the sales department,,A
30,,num30-31-32,,What does the woman recommend?,To talk to his co-workers ,To buy a new car,To walk to his new job,,B
31,,num30-31-32,,What does the man say he is worried about?,The distance ,His co-workers,The work,,A
