number,image,audio,paragraph,question,option1,option2,option3,option4,correctanswer
1,num1,num1,Look at the picture and listen to the sentences. Choose the sentence that best describes the picture:,,The man is finishing his meal,The customer is waiting for a table,The waiter is setting the table,The woman is looking at the menu,D
2,num2,num2,,,He’s handling a tool,He’s cutting grass,He’s building a bookshelf,He’s walking up to the roof,A
3,num3,num3,,,She’s turning on the light,She’s holding up a booklet,She’s speaking to the audience,She’s rearranging the bookshelf,B
4,,num4,Listen to the question and the three responses. Choose the response that best answers the question:,Why did you come by yesterday?,I came in early today,Because I had a question,By two o’clock at the earliest,,B
5,,num5,,Would you like a hand with your luggage?,"Yes, I can lend it to you",The handle is in the front,"Yes, that would be nice, thanks",,C
6,,num6,,"Mr. Robertson runs our San Francisco office, doesn’t he?","No, it’s in Los Angeles","Yes, he is the boss there",He’s on a business trip,,B
7,,num7,, Who approved the new schedule?,You will have to prove it,"Sorry, I can’t change my schedule",I think Mr. Sutton did,,C
8,,num8,,What did Mr. Chin say to you at the meeting?,He didn’t say much,Let’s go talk to him,Where is he now?,,A
9,,num9,,Did you deliver the package in person?,"No, I asked Rick to take it",At the post office,He is not the person,,A
10,,num10,,The software is not running properly,You shouldn’t run too fast,Let me see if I can do anything about it,"No, I am not going to wear it",,B
11,,num11,,Where is the conference room?,It’s on the second floor,Let’s meet in a short while,We have plenty of room,,A
12,,num12,,Who asked for a copy of the report?,"Yes, I will ask him",Fifteen pages,Mr. Johnson did,,C
13,,num13,,Would you like anything to drink?,"Yes, I liked it very much",Some tea would be nice,"No, I didn’t get anything",,B
14,,num14,,Where does the bus for Toronto leave?,From gate,"Yes, let’s go",In ten minutes,,A
15,,num15-16-17,Listen to the dialogue. Then read each question and choose the best answer:, How many pens does the man need?,100,200,300,400,C
16,,num15-16-17,,Why does he need the pens?,To write a book,For the office employees,To make a large drawing,To give away at a conference,D
17,,num15-16-17,,How much will he pay for the pens?,$20 ,$40 ,$120 ,$140 ,C
18,,num18-19-20,,"According to the woman, what is the problem with the cleaner?",Its shade is not right for her items,It is not solid enough to use,It is not convenient to apply,It is more expensive than other brands,B
19,,num18-19-20,,How did the woman learn about the item?,From an advertisement,From a product catalog ,From some reviews,From her colleague,C
20,,num18-19-20,,What does the woman say she would prefer?,To get the money back ,To change the color,To get a discounted item,To replace the item,D
21,,num21-22-23,,Why is the man meeting with Ronda?,To transfer her to another department,To offer her a full-time position,To discuss a future project,To talk about her promotion,B
22,,num21-22-23,,How long has Ronda been with the company?,One week,One month,Three months,Six months,C
23,,num21-22-23,,In which department does Ronda work?,Marketing,Planning,Accounting,Personnel,A
24,,num24-25-26,,Where will the woman go next?,To have lunch,To talk to Mr. Wright,To see the general manager,To her office,A
25,,num24-25-26,,When will the woman hand in her report?,By lunch,By the end of the day,By tomorrow,By the end of the week,B
26,,num24-25-26,,Who wants to see the report?,Wendy,The general manager,Mr. Wright’s secretary,The receptionist,B
27,,num27-28-29,,In which department will Jason most likely work?,Personnel,Accounting,Computer,Sales,D
28,,num27-28-29,,What impressed the man about Jason?,His job experience,His education background,His work ethic,His confidence,A
29,,num27-28-29,,What are the speakers discussing,A person they have just interviewed,Company sales figures,A guy they both know in the sales department,The feedback they got from a recent survey,A
30,,num30-31-32,,What does the woman recommend?,To talk to his co-workers ,To buy a new car,To walk to his new job,To move closer to work,B
31,,num30-31-32,,What does the man say he is worried about?,The distance ,His co-workers,The work,The pay,A
32,,num30-31-32,,What does the man say about his new job?,It is very difficult,His co-workers are friendly,It is very close to his place,He has to drive a lot,B
33,,num33-34-35,,Where are they going?,To catch a bus,To a local college,To a client’s office,To pick up someone,D
34,,num33-34-35,, Where is the conversation taking place?,In a bus,At a college,In a car,On the highway,C
35,,num33-34-35,,What is the problem?,The highway is closed,They missed a bus,The road is congested ,They made a wrong turn,A
36,,num36-37-38,Listen to the talk. Then read each question and choose the best answer:,"According to the speaker, how long will the special offer last?",One day,One weekend,One week,One month,B
37,,num36-37-38,,How much is the special offer?,$100 ,$200 ,$300 ,$400 ,B
38,,num36-37-38,,Who would be most interested in this advertisement?,People who want to travel overseas,Members who belong to the fitness club,Staff who work for the Travel Lodge Inn,Those who want to get away for the weekend,D
39,,num39-40-41,, What does the speaker say she will do for the listeners?,Treat them to a meal,Buy them a giftIntroduce a new project,,Announce the new manger,A
40,,num39-40-41,,Why is the speaker excited?,He will receive a cash reward,His team won the campaign,He just got promoted,He opened up a new restaurant,B
41,,num39-40-41,, Who most likely is giving the talk?,A team manager,Sophie,A waiter,A sales representative,A
42,,num42-43-44,,What does the speaker ask Mr. Lee to do?,Come into the office,Give him a call,Talk to the sales manager,Fax his resume,B
43,,num42-43-44,,What is the main purpose of the call?,To set up an interview,To offer a position at the company,To seek information about a job,To respond to an earlier call,A
44,,num42-43-44,, What position did Mr. Lee apply for?,Sales manager,Personnel manager,Accounting manager,Computer programming,A
45,,num45-46-47,,When will the next report air?,In five minutes,In fifteen minutes,In thirty minutes,In sixty minutes,C
46,,num45-46-47,, How many vehicles are involved in the accident?,Two,Three,Four,Five,A
47,,num45-46-47,, In which part of the day is the report being aired?,Morning,Midday,Afternoon,Evening,A
48,,num48-49-50,,When is the receiver asked to call if she cannot make it to the dentist office?,1 hour before her appointment,2 hours before her appointment,6 hours before her appointment,24 hours before her appointment,B
49,,num48-49-50,, What does the speaker remind Ms. Kim to do?, To arrive for her appointment early,To pick up her appointment book,To clean the office by 10 o’clock,To call Helen later today,A
50,,num48-49-50,,When is Mr. Kim’s appointment?,Wednesday,Thursday,Friday,Saturday,B
51,,,Choose the word that best completes the sentence:,Employees who have not yet registered on the new company website must do so ------,nearly,immediately,precisely,significantly,B
